2019-11-26,BE5613,34162.38
2019-11-26,YR3217,31967.88
2019-11-26,YR8837,30779.28
2019-11-26,BE1054,30394.98
2019-11-26,YR4098,30150.54
2019-11-26,YR6068,29478.54
2019-11-26,BE5092,29460.06
2019-11-26,YR8129,29192.52
2019-11-26,YR8558,29048.88
2019-11-26,YR5190,28757.82
2019-11-26,BE2494,28674.24
2019-11-26,BE4797,28195.02
2019-11-26,YR5698,27863.22
2019-11-26,YR6095,27727.98
2019-11-26,BE9667,27317.22
2019-11-26,BE9002,27198.78
2019-11-26,OJ5085,27147.60
2019-11-26,BE3466,27008.94
2019-11-26,GQ5324,26901.00
2019-11-26,XV5324,26901.00
2019-11-26,BE9628,26708.64
2019-11-26,BE3513,26553.66
2019-11-26,BE3684,26425.98
2019-11-26,OJ2536,26117.64
2019-11-26,XV1054,26052.84
2019-11-26,BE2612,25450.74
2019-11-26,BE9451,25438.14
2019-11-26,XV4868,25195.32
2019-11-26,OJ5865,25185.60
2019-11-26,BE2889,24941.70
2019-11-26,OJ9992,24917.76
2019-11-26,OJ8558,24899.04
2019-11-26,GQ8275,24732.00
2019-11-26,XV6314,24545.88
2019-11-26,YR2955,24517.08
2019-11-26,BE6167,24480.96
2019-11-26,XV3949,24351.12
2019-11-26,XV7687,24312.24
2019-11-26,GQ9387,24218.28
2019-11-26,YR6083,24168.90
2019-11-26,XV4797,24167.16
2019-11-26,OJ9732,24145.20
2019-11-26,BE5386,24021.90
2019-11-26,GQ9568,23976.72
2019-11-26,XV9568,23976.72
2019-11-26,OJ1343,23793.48
2019-11-26,GQ1780,23782.68
2019-11-26,XV1780,23782.68
2019-11-26,GQ6095,23766.84
2019-11-26,YR7220,23762.76
2019-11-26,YR4226,23730.42
2019-11-26,YR7896,23674.14
2019-11-26,OJ4468,23583.96
2019-11-26,GQ6177,23160.24
2019-11-26,XV6177,23160.24
2019-11-26,XV7397,23101.56
2019-11-26,OJ9269,22699.80
2019-11-26,YR4165,22641.78
2019-11-26,BE9225,22579.62
2019-11-26,OJ7306,22566.60
2019-11-26,BE6693,22527.54
2019-11-26,XV4304,22521.60
2019-11-26,BE3766,22499.82
2019-11-26,YR5986,22496.88
2019-11-26,XV5488,22403.88
2019-11-26,GQ5488,22403.88
2019-11-26,YR5005,22105.44
2019-11-26,OJ3183,21964.32
2019-11-26,OJ9922,21951.72
2019-11-26,GQ9784,21885.12
2019-11-26,XV9784,21885.12
2019-11-26,GQ8531,21709.80
2019-11-26,XV8531,21709.80
2019-11-26,GQ7785,21645.36
2019-11-26,XV7785,21645.36
2019-11-26,YR4591,21616.98
2019-11-26,XV2889,21378.60
2019-11-26,GQ4721,21359.52
2019-11-26,XV4721,21359.52
2019-11-26,GQ4211,21261.96
2019-11-26,XV4211,21261.96
2019-11-26,OJ7592,21214.08
2019-11-26,BE5249,21210.84
2019-11-26,YR1475,21040.32
2019-11-26,OJ2955,21014.64
2019-11-26,GQ8391,20980.44
2019-11-26,XV8391,20980.44
2019-11-26,GQ8870,20611.08
2019-11-26,XV8870,20611.08
2019-11-26,OJ4886,20565.72
2019-11-26,XV7837,20333.52
2019-11-26,GQ8207,20300.76
2019-11-26,GQ7896,20292.12
2019-11-26,XV6365,20268.00
2019-11-26,GQ1461,20140.92
2019-11-26,XV1461,20140.92
2019-11-26,OJ6529,19770.84
2019-11-26,OJ3977,19737.00
2019-11-26,GQ2163,19705.32
2019-11-26,XV2163,19705.32
2019-11-26,YR1845,19409.88
2019-11-26,XV6693,19309.32
2019-11-26,XV3766,19285.56
2019-11-26,XV4758,19194.12
2019-11-26,XV3375,18993.60
2019-11-26,GQ3360,18968.76
2019-11-26,XV3360,18968.76
2019-11-26,OJ5005,18947.52
2019-11-26,GQ3106,18798.48
2019-11-26,GQ3700,18795.96
2019-11-26,OJ9422,18570.60
2019-11-26,BE4691,18420.78
2019-11-26,GQ4201,18375.84
2019-11-26,YR1632,18219.60
2019-11-26,XV5249,18180.72
2019-11-26,YR1393,18158.70
2019-11-26,YR8834,17957.94
2019-11-26,GQ3170,17956.08
2019-11-26,YR8867,17604.30
2019-11-26,BE8164,17487.12
2019-11-26,YR2692,17372.46
2019-11-26,YR8473,17340.12
2019-11-26,YR4368,17229.24
2019-11-26,BE7495,17189.34
2019-11-26,YR5253,17115.42
2019-11-26,GQ7388,16821.72
2019-11-26,XV7388,16821.72
2019-11-26,OJ5020,16802.64
2019-11-26,BE1377,16477.02
2019-11-26,YR8737,16211.16
2019-11-26,BE2437,16043.16
2019-11-26,GQ5000,15996.60
2019-11-26,XV5000,15996.60
2019-11-26,OJ2470,15940.44
2019-11-26,XV3613,15916.32
2019-11-26,BE7565,15642.90
2019-11-26,YR8930,15635.76
2019-11-26,OJ1393,15564.60
2019-11-26,GQ7679,15494.40
2019-11-26,XV7679,15494.40
2019-11-26,OJ8445,15440.76
2019-11-26,BE4659,15112.86
2019-11-26,OJ1674,15104.16
2019-11-26,OJ8867,15089.40
2019-11-26,BE1512,15089.34
2019-11-26,OJ2461,15035.40
2019-11-26,GQ3587,14936.76
2019-11-26,YR6219,14768.46
2019-11-26,GQ4368,14767.92
2019-11-26,GQ1372,14654.52
2019-11-26,OJ2039,14503.32
2019-11-26,XV2437,13751.28
2019-11-26,OJ8079,13547.88
2019-11-26,GQ9524,12995.64
2019-11-26,OJ8807,11576.16
